Start Time,End Time,Dialogue,Speaker,TextBlob_Score,VADER_Score,Google_Score
1900-01-01 00:05:25.826,"00:05:29,863",LET'S TALK ABOUT WHAT'S REALLY GOING ON HERE. ,Paul,0.2,0.0,-0.4000000059604645
1900-01-01 00:05:32.332,"00:05:34,768",HMM? ,Paul,0.0,0.0,0.0
1900-01-01 00:05:51.151,"00:05:52,986",IT'S ANDREW. ,Laura,0.0,0.0,-0.20000000298023224
1900-01-01 00:05:54.154,"00:05:55,756",HE KNOWS I'M HERE AT THIS TIME. ,Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:06:00.360,"00:06:03,096","IF HE REALLY CARED, HE WOULDN'T HAVE STARTED WITH HIS SHIT. ",Laura,0.0,-0.1298,-0.4000000059604645
1900-01-01 00:06:03.196,"00:06:05,433",START WHAT? ,Paul,0.0,0.0,-0.20000000298023224
1900-01-01 00:06:10.471,"00:06:13,874","AT THE CLUB, THIS GUY-- ",Laura,0.0,0.0,0.0
1900-01-01 00:06:15.976,"00:06:18,378",OH MY GOD-- ,Laura,0.0,0.2732,0.10000000149011612
1900-01-01 00:06:22.550,"00:06:25,118","HE HAD CORDUROY PANTS ON, ",Laura,0.0,0.0,-0.4000000059604645
1900-01-01 00:06:25.218,"00:06:27,154",PREPPY SWEATER-- ,Laura,0.0,0.0,0.10000000149011612
1900-01-01 00:06:28.388,"00:06:29,990","A REPUBLICAN, PROBABLY. ",Laura,0.0,0.0,0.0
1900-01-01 00:06:34.695,"00:06:36,564",YOU KNOW WHAT? CAN I JUST STEP OUT FOR A SECOND ,Laura,0.0,0.0,0.0
1900-01-01 00:06:36.664,"00:06:38,298","AND LET HIM KNOW I'M HERE? I MEAN, ",Laura,-0.3125,0.0,-0.10000000149011612
1900-01-01 00:06:38.398,"00:06:40,200",I CAN'T CONCENTRATE WITH THIS SHIT. ,Laura,-0.2,-0.6428,-0.5
1900-01-01 00:06:40.300,"00:06:42,035",JUST A SEC. ,Laura,-0.1,0.0,-0.4000000059604645
1900-01-01 00:06:42.135,"00:06:44,538","LAURA, THE CALL CAN WAIT. ",Paul,0.0,0.0,0.0
1900-01-01 00:07:03.423,"00:07:06,760",ANDREW GAVE ME AN ULTIMATUM: ,Laura,0.0,0.0,0.0
1900-01-01 00:07:06.860,"00:07:09,963",EITHER WE GET MARRIED OR WE SPLIT. ,Laura,0.25,0.0,-0.20000000298023224
1900-01-01 00:07:10.063,"00:07:12,533",HE SAID HE WANTS AN ANSWER IN A DAY OR TWO AT THE MOST ,Laura,0.35,0.0,0.0
1900-01-01 00:07:12.633,"00:07:14,735",OR ELSE HE'S OUT. ,Laura,0.0,0.0,-0.5
1900-01-01 00:07:14.835,"00:07:17,738",HE SAID HE CAN'T TAKE IT ANYMORE; ,Laura,0.0,0.0,-0.699999988079071
1900-01-01 00:07:17.838,"00:07:20,373","THAT HE LOVES ME, THAT HE DOESN'T BELIEVE I LOVE HIM-- ",Laura,0.5,0.0854,0.8999999761581421
1900-01-01 00:07:20.474,"00:07:22,676",NOT FOR REAL; ,Laura,0.2,0.0,-0.800000011920929
1900-01-01 00:07:22.776,"00:07:25,245",THAT IT'S BEEN TWO YEARS ALREADY ON AND OFF-- ,Laura,0.0,0.0,-0.5
1900-01-01 00:07:25.345,"00:07:27,615",BLAH BLAH BLAH. ,Laura,0.0,-0.296,0.20000000298023224
1900-01-01 00:07:27.715,"00:07:29,583","I DON'T KNOW WHY, ALL OF A SUDDEN ",Laura,0.0,0.0,-0.5
1900-01-01 00:07:29.683,"00:07:32,252",HE JUST STARTED RANTING AND RAVING. ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:07:32.352,"00:07:35,956",WE'VE TALKED ABOUT THIS STUFF BEFORE. ,Laura,0.0,0.0,-0.20000000298023224
1900-01-01 00:07:36.056,"00:07:38,158","BUT IT WAS ALL IN THEORY, IF WE STAYED TOGETHER-- ",Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:07:38.258,"00:07:40,427",IF. ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:07:40.528,"00:07:42,530","AND SUDDENLY, OUT OF THE BLUE, I-- ",Laura,0.0,0.0,0.0
1900-01-01 00:07:42.630,"00:07:45,398",I CAN'T EVEN REMEMBER WHAT WE WERE DOING. ,Laura,0.0,0.0,-0.699999988079071
1900-01-01 00:07:45.499,"00:07:47,668",WE WERE WATCHING TV. ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:07:47.768,"00:07:49,670",ALL OF A SUDDEN HE JUST GETS OFF THE COUCH ,Laura,0.0,0.0,-0.6000000238418579
